Name,team,position,cap_hit,mp_value,role_cluster
Teuvo Teravainen,CHI,C,5400000.0,0.0284339530507485,1
J.T. Miller,NYR,C,8000000.0,0.0485799682034976,0
Eeli Tolvanen,SEA,R,3475000.0,0.0279071772397442,4
Anders Lee,NYI,L,7000000.0,0.0456914114157046,5
Jake Neighbours,STL,L,835834.0,0.029822766681159,4
Casey Mittelstadt,BOS,C,5750000.0,0.0209815507054142,2
Nino Niederreiter,WPG,R,4000000.0,0.0339035471863367,4
Alex Tuch,BUF,R,4750000.0,0.0424612851125819,5
Nicolas Roy,VGK,C,3000000.0,0.028108224841118,3
Bobby McMann,TOR,C,1350000.0,0.0335958983919832,4
Morgan Rielly,TOR,D,7500000.0,0.0203835335259236,2
Morgan Geekie,BOS,C,2000000.0,0.0440106431970526,5
Patrick Kane,DET,R,4000000.0,0.0387712273564135,0
John Tavares,TOR,C,11000000.0,0.0461696031213802,5
Tom Wilson,WSH,R,6500000.0,0.0428712697226739,4
Jordan Kyrou,STL,R,8125000.0,0.0531401864812704,5
James van Riemsdyk,CBJ,L,900000.0,0.0345878611184733,3
Jordan Staal,CAR,C,2900000.0,0.0489376403523924,4
Gabriel Vilardi,WPG,C,3437500.0,0.0419207869531452,3
Lane Hutson,MTL,D,950000.0,0.0315162677586345,1
Mark Stone,VGK,R,9500000.0,0.0508111794562409,0
Martin Necas,COL,C,6500000.0,0.062043463293838,0
Stefan Noesen,NJD,R,2750000.0,0.0376895945927823,4
Logan Cooley,UTA,C,950000.0,0.0440429979098238,0
Connor Bedard,CHI,C,950000.0,0.0226822303491809,3
Sam Bennett,FLA,C,4425000.0,0.0463939287329748,5
Jackson Blake,CAR,R,905833.0,0.0528859464339452,3
Pavel Buchnevich,STL,L,5800000.0,0.0343702815781284,3
Vincent Trocheck,NYR,C,5625000.0,0.0397429845771479,4
Artturi Lehkonen,COL,L,4500000.0,0.0443209291301256,3
Ryan McLeod,BUF,C,2100000.0,0.0333329154076655,1
Andrei Kuzmenko,LAK,L,5500000.0,0.0349268923176347,1
Matt Duchene,DAL,C,3000000.0,0.0496543874417556,0
Vladislav Gavrikov,LAK,D,5875000.0,0.0264381173736199,2
Nathan MacKinnon,COL,C,12600000.0,0.0749409662095213,0
Elias Pettersson,VAN,C,11600000.0,0.035117784972647,3
Mitch Marner,TOR,R,10903000.0,0.0507601864990877,0
Brock Boeser,VAN,R,6650000.0,0.0309595477571397,3
Yanni Gourde,TBL,C,5166667.0,0.0347545643380343,4
Bo Horvat,NYI,C,8500000.0,0.0409901777791377,5
Brady Skjei,NSH,D,7000000.0,0.0177987818465423,2
Justin Faulk,STL,D,6500000.0,0.0129915864011878,2
Shea Theodore,VGK,D,5200000.0,0.0389213767829067,1
Filip Forsberg,NSH,L,8500000.0,0.0498074174295409,0
Tage Thompson,BUF,C,7142857.0,0.0513720492464544,5
Nazem Kadri,CGY,C,7000000.0,0.0482200239430407,5
Bobby Brink,PHI,R,1500000.0,0.0275171413126973,1
Ryan McDonagh,TBL,D,6750000.0,0.0196364071760691,2
Ryan Strome,ANA,C,5000000.0,0.0242985416488992,3
Brayden Point,TBL,C,9500000.0,0.0504966997799853,5
Cutter Gauthier,ANA,L,950000.0,0.0345983200516907,5
Jack Quinn,BUF,R,863334.0,0.0297031503341263,3
Rasmus Dahlin,BUF,D,11000000.0,0.0463203707890572,1
Macklin Celebrini,SJS,C,975000.0,0.0425436168932739,0
Kyle Connor,WPG,L,7142857.0,0.051884554822507,0
Vince Dunn,SEA,D,7350000.0,0.0312513697129081,2
Kent Johnson,CBJ,C,1800000.0,0.0443458665797417,0
Corey Perry,EDM,R,1150000.0,0.0403971455165994,3
Jean-Gabriel Pageau,NYI,C,5000000.0,0.0367892561470577,3
Quinton Byfield,LAK,R,6250000.0,0.042346702021876,3
Claude Giroux,OTT,R,6500000.0,0.0364090508374963,3
Oliver Bjorkstrand,TBL,R,5400000.0,0.0417893402782613,5
William Nylander,TOR,R,11500000.0,0.0484253075937366,5
Ryan O'Reilly,NSH,C,4500000.0,0.0388711738236764,3
Nico Hischier,NJD,C,7250000.0,0.0533647243476554,5
Cole Perfetti,WPG,C,3250000.0,0.0432574946466809,3
Andre Burakovsky,SEA,L,5500000.0,0.0271905444545215,3
Chris Kreider,NYR,L,6500000.0,0.0240589844492882,4
Gustav Forsling,FLA,D,5750000.0,0.0338922731935832,2
Vladislav Namestnikov,WPG,C,2000000.0,0.0334211197009599,3
John Carlson,WSH,D,8000000.0,0.0337189105950185,1
Troy Terry,ANA,R,7000000.0,0.0358761181860983,3
Thomas Chabot,OTT,D,8000000.0,0.0321564298382134,2
Conor Garland,VAN,R,4950000.0,0.0336660747179051,3
Brad Marchand,FLA,L,6125000.0,0.0397535260885717,5
Sebastian Aho,CAR,C,9750000.0,0.0572511151928627,0
Tyler Bertuzzi,CHI,L,5500000.0,0.0216348718469784,3
Anton Lundell,FLA,C,5000000.0,0.0428771602055114,3
Nick Schmaltz,UTA,C,5850000.0,0.0446060314475036,1
Taylor Hall,CAR,L,6000000.0,0.0359727829051538,1
Kaapo Kakko,SEA,R,2400000.0,0.0315883330406236,3
Matthew Tkachuk,FLA,L,9500000.0,0.0684258640694771,0
Andrei Svechnikov,CAR,R,7750000.0,0.0487183995888057,5
Drake Batherson,OTT,R,4975000.0,0.0418435823035816,5
Cole Caufield,MTL,R,7850000.0,0.050444149594081,5
Alex Iafallo,WPG,L,4000000.0,0.0350894373632426,3
Fabian Zetterlund,OTT,L,1450000.0,0.0283525369401308,4
Brock Nelson,COL,C,6000000.0,0.0381625908790482,3
Mikhail Sergachev,UTA,D,8500000.0,0.0318769389865563,2
Jamie Benn,DAL,L,9500000.0,0.0326607303324891,3
Keegan Kolesar,VGK,R,1400000.0,0.0286440521305111,4
Jonathan Marchessault,NSH,R,5500000.0,0.0338182855512765,5
Brandon Saad,VGK,L,1500000.0,0.0313140464883779,3
Reilly Smith,VGK,R,5000000.0,0.0311276284687589,1
Aaron Ekblad,FLA,D,7500000.0,0.0330751120224804,2
Dmitri Voronkov,CBJ,L,925000.0,0.0412909543433024,5
Cale Makar,COL,D,9000000.0,0.0539542118310406,1
Will Cuylle,NYR,L,828333.0,0.0355400978687264,4
Noah Hanifin,VGK,D,7350000.0,0.0294223407957313,2
Sam Reinhart,FLA,C,8625000.0,0.0589806649447937,5
Rasmus Sandin,WSH,D,4600000.0,0.0205890763511581,2
Jakob Chychrun,WSH,D,4600000.0,0.035457898957498,1
Matt Grzelcyk,PIT,D,2750000.0,0.0214769600930865,2
Brandon Montour,SEA,D,7142857.0,0.0215037971056025,2
