playerId,season,Name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60,Name_norm,CapHit,Pos,Length,Start Year
8484210,2024,Gabe Perreault,NYR,R,,5,4331,96,0,0,0,0,0,0,0,0,0,0,5,0.35,1,1,6,0.52,0.43,0.45,-0.89,72.18333333333334,-0.178,-0.0123297160009235,-0.0123297160009235,0.0,0.0,0.0,0.0,0.0692680674209189,0.0048487647194643,0.0138536134841837,0.0138536134841837,0.0831216809051027,GABE PERREAULT,,,,
8474715,2024,Cam Atkinson,TBL,R,,39,21043,493,0,0,0,0,0,0,4,5,0,9,47,3.93,15,3,12,0.41,0.47,0.47,6.51,350.71666666666664,0.1669230769230769,0.0185619921113909,0.0185619921113909,0.0114052178871833,0.0142565223589792,0.0,0.0256617402461626,0.1340113101744048,0.0112056265741576,0.0427695670769377,0.0085539134153875,0.0342156536615501,CAM ATKINSON,900000.0,R,1.0,2024-25
8480068,2024,Ryan Poehling,PHI,C,,68,56630,1319,0,0,0,0,0,0,12,11,8,31,72,9.86,26,11,43,0.45,0.42,0.45,24.93,943.8333333333334,0.3666176470588235,0.0264135617164047,0.0264135617164047,0.0127141091294366,0.0116546000353169,0.0084760727529577,0.0328447819177114,0.0762846547766201,0.0104467596680204,0.0275472364471128,0.0116546000353169,0.0455588910471481,RYAN POEHLING,1900000.0,C,2.0,2024-25
8474013,2024,Ian Cole,UTA,D,,82,99788,2212,0,0,0,0,0,0,1,8,8,17,66,5.22,106,25,118,0.45,0.45,0.46,28.2,1663.1333333333334,0.3439024390243902,0.0169559466068064,0.0169559466068064,0.000601274702369,0.0048101976189521,0.0048101976189521,0.0102216699402733,0.0396841303563554,0.0031386539463662,0.0637351184511163,0.0150318675592255,0.0709504148795446,IAN COLE,3100000.0,D,1.0,2024-25
8476624,2024,Barclay Goodrow,SJS,C,,77,63680,1376,0,0,0,0,0,0,5,2,1,8,73,8.9,150,26,54,0.31,0.38,0.38,-4.93,1061.3333333333333,-0.064025974025974,-0.0046451005025125,-0.0046451005025125,0.0047110552763819,0.0018844221105527,0.0009422110552763,0.007537688442211,0.0687814070351758,0.0083856783919598,0.1413316582914573,0.0244974874371859,0.0508793969849246,BARCLAY GOODROW,3641667.0,C,6.0,2021-22
8476917,2024,Adam Pelech,NYI,D,,60,76010,1748,0,0,0,0,0,0,0,4,17,21,109,5.15,73,36,58,0.47,0.51,0.52,36.08,1266.8333333333333,0.6013333333333333,0.0284804630969609,0.0284804630969609,0.0,0.0031574792790422,0.0134192869359294,0.0165767662149717,0.0860413103539008,0.0040652545717668,0.0576239968425207,0.02841731351138,0.0457834495461123,ADAM PELECH,5750000.0,D,8.0,2021-22
8481607,2024,Albert Johansson,DET,D,,61,59881,1310,0,0,0,0,0,0,3,2,4,9,48,1.82,70,15,54,0.45,0.47,0.47,9.0,998.0166666666668,0.1475409836065573,0.0090178854728544,0.0090178854728544,0.0030059618242848,0.0020039745495232,0.0040079490990464,0.0090178854728544,0.0480953891885573,0.0018236168400661,0.0701391092333127,0.0150298091214241,0.0541073128371269,ALBERT JOHANSSON,775000.0,D,1.0,2024-25
8477244,2024,Chad Ruhwedel,NYR,D,,5,4231,101,0,0,0,0,0,0,0,1,0,1,1,0.07,8,1,4,0.27,0.36,0.34,0.22,70.51666666666667,0.044,0.0031198298274639,0.0031198298274639,0.0,0.0141810446702907,0.0,0.0141810446702907,0.0141810446702907,0.0009926731269203,0.1134483573623257,0.0141810446702907,0.0567241786811628,CHAD RUHWEDEL,,,,
8476931,2024,Jake McCabe,TOR,D,,66,85190,1978,0,0,0,0,0,0,2,10,11,23,74,2.98,118,9,83,0.45,0.43,0.44,27.05,1419.8333333333333,0.4098484848484848,0.0190515318699377,0.0190515318699377,0.0014086160347458,0.0070430801737293,0.0077473881911022,0.0161990843995774,0.0521187932855969,0.0020988378917713,0.0831083460500058,0.0063387721563563,0.0584575654419532,JAKE MCCABE,4000000.0,D,4.0,2021-22
8479671,2024,Mathieu Olivier,CBJ,R,,82,71139,1525,0,0,0,0,0,0,18,6,8,32,111,13.35,306,22,49,0.46,0.43,0.44,19.45,1185.65,0.2371951219512195,0.0164045038586429,0.0164045038586429,0.015181545987433,0.0050605153291443,0.0067473537721924,0.0269894150887698,0.0936195335891705,0.0112596466073461,0.2580862817863619,0.0185552228735292,0.0413275418546788,MATHIEU OLIVIER,1100000.0,R,2.0,2023-24
8478046,2024,Danton Heinen,PIT,L,,79,63719,1470,0,0,0,0,0,0,9,9,11,29,81,11.1,81,19,48,0.44,0.49,0.48,26.73,1061.9833333333331,0.3383544303797468,0.0251698865330592,0.0251698865330592,0.0084747092703903,0.0084747092703903,0.0103579779971437,0.0273073965379243,0.0762723834335127,0.0104521414334813,0.0762723834335127,0.0178910529041573,0.0451984494420816,DANTON HEINEN,2250000.0,L,2.0,2024-25
8475790,2024,Erik Gudbranson,CBJ,D,,16,17060,330,0,0,0,0,0,0,0,1,3,4,12,0.32,26,3,16,0.4,0.42,0.41,2.85,284.3333333333333,0.178125,0.0100234466588511,0.0100234466588511,0.0,0.003516998827667,0.0105509964830011,0.0140679953106682,0.0422039859320046,0.0011254396248534,0.0914419695193435,0.0105509964830011,0.0562719812426729,ERIK GUDBRANSON,4000000.0,D,4.0,2022-23
8478975,2024,Mason Marchment,DAL,L,,62,57064,1186,0,0,0,0,0,0,22,18,7,47,134,19.18,79,22,58,0.56,0.55,0.55,44.24,951.0666666666668,0.7135483870967743,0.0465161923454367,0.0465161923454367,0.0231319220524323,0.0189261180428992,0.007360157016683,0.0494181971120145,0.1408944343193607,0.0201668302257114,0.0830646291882798,0.0231319220524323,0.0609841581382307,MASON MARCHMENT,4500000.0,L,4.0,2022-23
8477947,2024,Sonny Milano,WSH,L,,3,1298,34,0,0,0,0,0,0,0,0,0,0,4,0.38,1,0,1,0.49,0.39,0.4,-0.5,21.633333333333333,-0.1666666666666666,-0.0231124807395993,-0.0231124807395993,0.0,0.0,0.0,0.0,0.184899845916795,0.0175654853620955,0.0462249614791987,0.0,0.0462249614791987,SONNY MILANO,1900000.0,L,3.0,2023-24
8480434,2024,Sean Durzi,UTA,D,,30,37166,808,0,0,0,0,0,0,4,3,4,11,39,3.41,15,11,46,0.56,0.52,0.53,16.27,619.4333333333333,0.5423333333333333,0.0262659419899908,0.0262659419899908,0.0064575149330032,0.0048431361997524,0.0064575149330032,0.017758166065759,0.062960770596782,0.0055050314803852,0.0242156809987623,0.017758166065759,0.0742614217295377,SEAN DURZI,6000000.0,D,4.0,2024-25
8478460,2024,Zach Werenski,CBJ,D,,81,129982,2080,0,0,0,0,0,0,23,32,27,82,298,19.45,19,49,120,0.54,0.54,0.54,96.05,2166.366666666667,1.1858024691358025,0.0443369081872874,0.0443369081872874,0.0106168546414118,0.0147712760228339,0.0124632641442661,0.0378513948085119,0.1375575079626409,0.0089781662076287,0.0087704451385576,0.0226185164099644,0.0553922850856272,ZACH WERENSKI,9583333.0,D,6.0,2022-23
