Name,team,position,games_played
Skyler Brind'Amour,CAR,C,2
Juuso Vlimki,UTA,D,43
Jack Ahcan,COL,D,2
Kirill Kudryavtsev,VAN,D,2
Cam Dineen,EDM,D,4
Arshdeep Bains,VAN,L,13
Owen Pickering,PIT,D,25
Brett Murray,BUF,L,3
Ivan Miroshnichenko,WSH,L,18
Walker Duehr,SJS,R,24
Colin White,SJS,C,3
Dylan Coghlan,WPG,D,6
Matthew Highmore,OTT,C,41
Cameron Crotty,MIN,D,1
Liam Ohgren,MIN,L,24
Angus Crookshank,OTT,L,8
Bradly Nadeau,CAR,L,2
Lucas Condotta,MTL,L,7
Marc Del Gaizo,NSH,D,46
Grigori Denisenko,VGK,L,1
Jan Jenik,OTT,C,2
Michael Callahan,BOS,D,17
Jason Polin,COL,R,2
Mason Morelli,VGK,L,1
Rafael Harvey-Pinard,MTL,L,1
Maveric Lamoureux,UTA,D,15
Brett Berard,NYR,L,35
Justin Hryckowian,DAL,C,5
Cole Reinhardt,OTT,L,17
Devin Shore,MIN,C,55
William Lagesson,DET,D,7
Michael Milne,MIN,L,1
Kevin Gravel,NSH,D,6
Joakim Kemell,NSH,R,2
Nikita Chibrikov,WPG,R,4
Adam Wilsby,NSH,D,23
Chase Bradley,COL,L,2
Jimmy Schuldt,SJS,D,8
Joseph LaBate,CBJ,C,6
Alex Steeves,TOR,C,7
Nikita Grebenkin,TOR,R,7
Jaycob Megna,FLA,D,8
Kieffer Bellows,NSH,L,19
Riley Tufte,BOS,L,6
Ilya Solovyov,CGY,D,5
Andreas Athanasiou,CHI,C,8
Erik Brannstrom,VAN,D,28
Ian Mitchell,BOS,D,15
Zack Ostapchuk,SJS,C,56
Jani Hakanp,TOR,D,2
Liam Foudy,NYI,C,2
Alexis Lafrenire,NYR,L,82
JJ Peterka,BUF,R,77
Steven Santini,TBL,D,1
Georgii Merkulov,BOS,C,6
Ethan Cardwell,SJS,R,6
Max Jones,EDM,L,26
Emil Andrae,PHI,D,42
Guillaume Brisebois,VAN,D,3
Riley Stillman,CAR,D,5
Rutger McGroarty,PIT,R,8
