playerId,season,name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60
8484210,2024,Gabe Perreault,NYR,R,,5,4331,96,0,0,0,0,0,0,0,0,0,0,5,0.35,1,1,6,0.52,0.43,0.45,-0.89,72.18333333333334,-0.178,-0.012329716000923573,-0.012329716000923573,0.0,0.0,0.0,0.0,0.06926806742091896,0.004848764719464326,0.013853613484183791,0.013853613484183791,0.08312168090510275
8474715,2024,Cam Atkinson,TBL,R,,39,21043,493,0,0,0,0,0,0,4,5,0,9,47,3.93,15,3,12,0.41,0.47,0.47,6.51,350.71666666666664,0.16692307692307692,0.018561992111390962,0.018561992111390962,0.011405217887183388,0.014256522358979234,0.0,0.02566174024616262,0.1340113101744048,0.011205626574157678,0.0427695670769377,0.00855391341538754,0.03421565366155016
8480068,2024,Ryan Poehling,PHI,C,,68,56630,1319,0,0,0,0,0,0,12,11,8,31,72,9.86,26,11,43,0.45,0.42,0.45,24.93,943.8333333333334,0.36661764705882355,0.026413561716404733,0.026413561716404733,0.012714109129436693,0.01165460003531697,0.008476072752957796,0.03284478191771146,0.07628465477662016,0.010446759668020483,0.027547236447112836,0.01165460003531697,0.04555889104714815
8474013,2024,Ian Cole,UTA,D,,82,99788,2212,0,0,0,0,0,0,1,8,8,17,66,5.22,106,25,118,0.45,0.45,0.46,28.2,1663.1333333333334,0.3439024390243902,0.016955946606806428,0.016955946606806428,0.0006012747023690223,0.004810197618952178,0.004810197618952178,0.01022166994027338,0.03968413035635547,0.003138653946366296,0.06373511845111636,0.015031867559225557,0.07095041487954463
8476624,2024,Barclay Goodrow,SJS,C,,77,63680,1376,0,0,0,0,0,0,5,2,1,8,73,8.9,150,26,54,0.31,0.38,0.38,-4.93,1061.3333333333333,-0.06402597402597403,-0.004645100502512563,-0.004645100502512563,0.00471105527638191,0.001884422110552764,0.000942211055276382,0.007537688442211056,0.06878140703517588,0.0083856783919598,0.1413316582914573,0.02449748743718593,0.05087939698492463
8476917,2024,Adam Pelech,NYI,D,,60,76010,1748,0,0,0,0,0,0,0,4,17,21,109,5.15,73,36,58,0.47,0.51,0.52,36.08,1266.8333333333333,0.6013333333333333,0.028480463096960926,0.028480463096960926,0.0,0.0031574792790422315,0.013419286935929484,0.016576766214971714,0.08604131035390081,0.004065254571766873,0.057623996842520724,0.028417313511380084,0.045783449546112354
8481607,2024,Albert Johansson,DET,D,,61,59881,1310,0,0,0,0,0,0,3,2,4,9,48,1.82,70,15,54,0.45,0.47,0.47,9.0,998.0166666666667,0.14754098360655737,0.009017885472854495,0.009017885472854495,0.0030059618242848315,0.002003974549523221,0.004007949099046442,0.009017885472854495,0.048095389188557304,0.0018236168400661312,0.07013910923331274,0.015029809121424159,0.05410731283712697
8477244,2024,Chad Ruhwedel,NYR,D,,5,4231,101,0,0,0,0,0,0,0,1,0,1,1,0.07,8,1,4,0.27,0.36,0.34,0.22,70.51666666666667,0.044,0.0031198298274639565,0.0031198298274639565,0.0,0.014181044670290712,0.0,0.014181044670290712,0.014181044670290712,0.00099267312692035,0.1134483573623257,0.014181044670290712,0.05672417868116285
8476931,2024,Jake McCabe,TOR,D,,66,85190,1978,0,0,0,0,0,0,2,10,11,23,74,2.98,118,9,83,0.45,0.43,0.44,27.05,1419.8333333333333,0.40984848484848485,0.01905153186993779,0.01905153186993779,0.0014086160347458623,0.0070430801737293115,0.0077473881911022426,0.016199084399577415,0.052118793285596904,0.002098837891771335,0.08310834605000587,0.00633877215635638,0.05845756544195328
8479671,2024,Mathieu Olivier,CBJ,R,,82,71139,1525,0,0,0,0,0,0,18,6,8,32,111,13.35,306,22,49,0.46,0.43,0.44,19.45,1185.65,0.2371951219512195,0.016404503858642935,0.016404503858642935,0.015181545987433053,0.0050605153291443505,0.006747353772192468,0.026989415088769873,0.0936195335891705,0.01125964660734618,0.2580862817863619,0.018555222873529287,0.041327541854678865
8478046,2024,Danton Heinen,PIT,L,,79,63719,1470,0,0,0,0,0,0,9,9,11,29,81,11.1,81,19,48,0.44,0.49,0.48,26.73,1061.9833333333333,0.33835443037974683,0.025169886533059214,0.025169886533059214,0.008474709270390308,0.008474709270390308,0.010357977997143709,0.027307396537924324,0.07627238343351277,0.010452141433481379,0.07627238343351277,0.017891052904157316,0.04519844944208164
8475790,2024,Erik Gudbranson,CBJ,D,,16,17060,330,0,0,0,0,0,0,0,1,3,4,12,0.32,26,3,16,0.4,0.42,0.41,2.85,284.3333333333333,0.178125,0.010023446658851114,0.010023446658851114,0.0,0.0035169988276670576,0.010550996483001174,0.01406799531066823,0.042203985932004695,0.0011254396248534585,0.0914419695193435,0.010550996483001174,0.05627198124267292
8478975,2024,Mason Marchment,DAL,L,,62,57064,1186,0,0,0,0,0,0,22,18,7,47,134,19.18,79,22,58,0.56,0.55,0.55,44.24,951.0666666666667,0.7135483870967743,0.046516192345436705,0.046516192345436705,0.023131922052432356,0.0189261180428992,0.007360157016683022,0.049418197112014575,0.14089443431936072,0.02016683022571148,0.08306462918827982,0.023131922052432356,0.06098415813823076
8477947,2024,Sonny Milano,WSH,L,,3,1298,34,0,0,0,0,0,0,0,0,0,0,4,0.38,1,0,1,0.49,0.39,0.4,-0.5,21.633333333333333,-0.16666666666666666,-0.023112480739599383,-0.023112480739599383,0.0,0.0,0.0,0.0,0.18489984591679506,0.017565485362095533,0.046224961479198766,0.0,0.046224961479198766
8480434,2024,Sean Durzi,UTA,D,,30,37166,808,0,0,0,0,0,0,4,3,4,11,39,3.41,15,11,46,0.56,0.52,0.53,16.27,619.4333333333333,0.5423333333333333,0.026265941989990854,0.026265941989990854,0.006457514933003283,0.0048431361997524625,0.006457514933003283,0.01775816606575903,0.06296077059678201,0.005505031480385299,0.024215680998762312,0.01775816606575903,0.07426142172953776
8478460,2024,Zach Werenski,CBJ,D,,81,129982,2080,0,0,0,0,0,0,23,32,27,82,298,19.45,19,49,120,0.54,0.54,0.54,96.05,2166.366666666667,1.1858024691358025,0.044336908187287465,0.044336908187287465,0.010616854641411887,0.01477127602283393,0.012463264144266128,0.03785139480851195,0.13755750796264096,0.008978166207628748,0.008770445138557646,0.022618516409964456,0.05539228508562724
8482153,2024,Brendan Brisson,VGK,C,,9,5328,122,0,0,0,0,0,0,0,0,0,0,7,0.55,9,1,1,0.38,0.43,0.41,-1.13,88.8,-0.12555555555555553,-0.012725225225225224,-0.012725225225225224,0.0,0.0,0.0,0.0,0.07882882882882883,0.006193693693693695,0.10135135135135136,0.011261261261261262,0.011261261261261262
8477407,2024,Anthony Duclair,NYI,L,,44,39710,861,0,0,0,0,0,0,7,4,0,11,60,6.61,26,9,43,0.5,0.53,0.53,11.54,661.8333333333334,0.26227272727272727,0.017436414001510952,0.017436414001510952,0.01057668093679174,0.0060438176781667085,0.0,0.016620498614958446,0.09065726517250063,0.009987408713170486,0.0392848149080836,0.013598589775875093,0.06497104004029211
8476872,2024,Scott Laughton,TOR,C,,80,70082,1610,0,0,0,0,0,0,13,12,6,31,125,17.85,178,19,59,0.44,0.41,0.44,19.1,1168.0333333333333,0.23875000000000002,0.016352273051568163,0.016352273051568163,0.011129819354470478,0.010273679404126594,0.005136839702063297,0.02654033846066037,0.10701749379298536,0.015282098113638311,0.15239291116121115,0.016266659056533773,0.05051225707028909
8477989,2024,Christian Dvorak,MTL,C,,82,74999,1641,0,0,0,0,0,0,12,15,6,33,104,15.97,44,18,66,0.43,0.4,0.4,25.92,1249.9833333333333,0.31609756097560976,0.02073627648368645,0.02073627648368645,0.00960012800170669,0.012000160002133362,0.004800064000853345,0.026400352004693397,0.08320110934812464,0.012776170348937986,0.035200469339591194,0.014400192002560035,0.052800704009386794
