Name,Pos,GP,Cap Hit,Length,Start Year
Ivan Provorov,D,82.0,6750000.0,6.0,2019-20
Brock Boeser,R,75.0,6650000.0,3.0,2022-23
Claude Giroux,C,81.0,6500000.0,3.0,2022-23
Brayden Schenn,C,82.0,6500000.0,8.0,2020-21
Chris Kreider,L,68.0,6500000.0,7.0,2020-21
Cam Fowler,D,68.0,6500000.0,8.0,2018-19
Justin Faulk,D,78.0,6500000.0,7.0,2020-21
Brendan Gallagher,R,82.0,6500000.0,6.0,2021-22
Torey Krug,D,0.0,6500000.0,7.0,2020-21
Hampus Lindholm,D,17.0,6500000.0,8.0,2022-23
Tom Wilson,R,81.0,6500000.0,7.0,2024-25
Colton Parayko,D,64.0,6500000.0,8.0,2022-23
Brandon Hagel,L,82.0,6500000.0,8.0,2024-25
Martin Necas,C,79.0,6500000.0,2.0,2024-25
Jeff Petry,D,44.0,6250000.0,4.0,2021-22
Ryan Ellis,D,0.0,6250000.0,8.0,2019-20
Mattias Ekholm,D,65.0,6250000.0,4.0,2022-23
Alex Killorn,L,82.0,6250000.0,4.0,2023-24
Damon Severson,D,70.0,6250000.0,8.0,2023-24
Chandler Stephenson,C,78.0,6250000.0,7.0,2024-25
MacKenzie Weegar,D,81.0,6250000.0,8.0,2023-24
Josh Morrissey,D,80.0,6250000.0,8.0,2020-21
Travis Sanheim,D,82.0,6250000.0,8.0,2023-24
Anthony Cirelli,C,80.0,6250000.0,8.0,2023-24
Quinton Byfield,C,81.0,6250000.0,5.0,2024-25
Owen Tippett,R,77.0,6200000.0,8.0,2024-25
Ryan Pulock,D,74.0,6150000.0,8.0,2022-23
Brad Marchand,C,71.0,6125000.0,8.0,2017-18
Valeri Nichushkin,R,43.0,6125000.0,8.0,2022-23
Evgeni Malkin,C,68.0,6100000.0,4.0,2022-23
Kris Letang,D,74.0,6100000.0,6.0,2022-23
Taylor Hall,L,77.0,6000000.0,4.0,2021-22
Brock Nelson,C,80.0,6000000.0,6.0,2019-20
Tyler Toffoli,C,78.0,6000000.0,4.0,2024-25
Jonas Brodin,D,50.0,6000000.0,7.0,2021-22
Ondrej Palat,L,77.0,6000000.0,5.0,2022-23
Nikolaj Ehlers,L,69.0,6000000.0,7.0,2018-19
Sean Durzi,D,30.0,6000000.0,4.0,2024-25
William Karlsson,C,53.0,5900000.0,8.0,2019-20
Vladislav Gavrikov,D,82.0,5875000.0,2.0,2023-24
Neal Pionk,D,69.0,5875000.0,4.0,2021-22
Nick Schmaltz,C,82.0,5850000.0,7.0,2019-20
Esa Lindell,D,80.0,5800000.0,6.0,2019-20
Pavel Buchnevich,C,76.0,5800000.0,4.0,2021-22
Andrew Mangiapane,C,81.0,5800000.0,3.0,2022-23
T.J. Oshie,R,0.0,5750000.0,8.0,2017-18
Adam Pelech,D,60.0,5750000.0,8.0,2021-22
Gustav Forsling,D,80.0,5750000.0,8.0,2024-25
Matt Roy,D,69.0,5750000.0,6.0,2024-25
Casey Mittelstadt,C,81.0,5750000.0,3.0,2024-25
Trevor Zegras,C,57.0,5750000.0,3.0,2023-24
Vincent Trocheck,C,82.0,5625000.0,7.0,2022-23
Andrew Copp,C,56.0,5625000.0,5.0,2022-23
Jaden Schwartz,L,81.0,5500000.0,5.0,2021-22
Zach Hyman,C,73.0,5500000.0,7.0,2021-22
Phillip Danault,C,80.0,5500000.0,6.0,2021-22
Jonathan Marchessault,L,78.0,5500000.0,5.0,2024-25
Josh Anderson,R,81.0,5500000.0,7.0,2020-21
Sean Monahan,C,54.0,5500000.0,5.0,2024-25
Andre Burakovsky,L,79.0,5500000.0,5.0,2022-23
Tyler Bertuzzi,L,82.0,5500000.0,4.0,2024-25
Brett Pesce,D,72.0,5500000.0,6.0,2024-25
Adrian Kempe,C,81.0,5500000.0,4.0,2022-23
Jake DeBrusk,L,82.0,5500000.0,7.0,2024-25
Travis Konecny,R,82.0,5500000.0,6.0,2019-20
Andrei Kuzmenko,L,66.0,5500000.0,2.0,2023-24
Teuvo Teravainen,C,82.0,5400000.0,3.0,2024-25
Oliver Bjorkstrand,R,79.0,5400000.0,5.0,2021-22
Jaccob Slavin,D,80.0,5300000.0,7.0,2018-19
Charlie Coyle,C,83.0,5250000.0,6.0,2020-21
Joel Eriksson Ek,C,46.0,5250000.0,8.0,2021-22
Shea Theodore,D,67.0,5200000.0,7.0,2018-19
Erik Cernak,D,76.0,5200000.0,8.0,2023-24
Yanni Gourde,C,57.0,5166667.0,6.0,2019-20
Evander Kane,L,0.0,5125000.0,4.0,2022-23
Bryan Rust,R,71.0,5125000.0,6.0,2022-23
Ryan Nugent-Hopkins,C,78.0,5125000.0,8.0,2021-22
Rasmus Ristolainen,D,63.0,5100000.0,5.0,2022-23
J.T. Compher,C,76.0,5100000.0,5.0,2023-24
Kyle Palmieri,R,82.0,5000000.0,4.0,2021-22
Reilly Smith,R,79.0,5000000.0,3.0,2022-23
Mikael Granlund,C,83.0,5000000.0,4.0,2021-22
Jason Zucker,L,73.0,5000000.0,1.0,2024-25
Ryan Strome,C,82.0,5000000.0,5.0,2022-23
Rickard Rakell,C,81.0,5000000.0,6.0,2022-23
Jean-Gabriel Pageau,C,79.0,5000000.0,6.0,2020-21
Ivan Barbashev,C,70.0,5000000.0,5.0,2023-24
Alexander Wennberg,C,77.0,5000000.0,2.0,2024-25
Nikita Zadorov,D,81.0,5000000.0,6.0,2024-25
Jared McCann,C,82.0,5000000.0,5.0,2022-23
Dylan Strome,C,82.0,5000000.0,5.0,2023-24
Samuel Girard,D,73.0,5000000.0,7.0,2020-21
Joel Farabee,L,81.0,5000000.0,6.0,2022-23
Anton Lundell,C,79.0,5000000.0,6.0,2024-25
Drake Batherson,R,82.0,4975000.0,6.0,2021-22
Conor Garland,R,81.0,4950000.0,5.0,2021-22
Blake Coleman,L,82.0,4900000.0,6.0,2021-22
Dylan Demelo,D,82.0,4900000.0,4.0,2024-25
Mike Matheson,D,80.0,4875000.0,8.0,2018-19
Jesperi Kotkaniemi,C,78.0,4820000.0,8.0,2022-23
Ilya Mikheyev,R,80.0,4750000.0,4.0,2022-23
Jordan Eberle,R,42.0,4750000.0,2.0,2024-25
Ben Chiarot,D,81.0,4750000.0,4.0,2022-23
Vladimir Tarasenko,R,80.0,4750000.0,2.0,2024-25
Alex Tuch,R,82.0,4750000.0,7.0,2019-20
Pavel Zacha,C,82.0,4750000.0,4.0,2023-24
Jamie Oleksiak,D,82.0,4600000.0,5.0,2021-22
Jakob Chychrun,D,74.0,4600000.0,6.0,2019-20
Rasmus Sandin,D,82.0,4600000.0,5.0,2024-25
Alex Vlasic,D,82.0,4600000.0,6.0,2024-25
Artyom Zub,D,56.0,4600000.0,4.0,2023-24
Philip Broberg,D,68.0,4580917.0,2.0,2024-25
Rasmus Andersson,D,81.0,4550000.0,6.0,2020-21
Nick Foligno,L,78.0,4500000.0,2.0,2024-25
Mikael Backlund,C,76.0,4500000.0,2.0,2024-25
Ryan O'Reilly,C,79.0,4500000.0,4.0,2023-24
Christopher Tanev,D,75.0,4500000.0,6.0,2024-25
Josh Manson,D,48.0,4500000.0,4.0,2022-23
Ryan Graves,D,61.0,4500000.0,6.0,2023-24
Artturi Lehkonen,L,69.0,4500000.0,5.0,2022-23
Michael Bunting,L,76.0,4500000.0,3.0,2023-24
Mason Marchment,L,62.0,4500000.0,4.0,2022-23
Ryan Lindgren,D,72.0,4500000.0,1.0,2024-25
Christian Dvorak,C,82.0,4450000.0,6.0,2019-20
Filip Chytil,C,56.0,4437500.0,4.0,2023-24
Sam Bennett,C,76.0,4425000.0,4.0,2021-22
Connor Murphy,D,68.0,4400000.0,4.0,2022-23
John Marino,D,35.0,4400000.0,6.0,2021-22
Lawson Crouse,L,81.0,4300000.0,5.0,2022-23
Mattias Samuelsson,D,62.0,4285714.0,7.0,2023-24
Jason Dickinson,C,59.0,4250000.0,2.0,2024-25
Trevor Moore,C,71.0,4200000.0,5.0,2023-24
Carter Verhaeghe,C,81.0,4166667.0,3.0,2022-23
Mats Zuccarello,R,69.0,4125000.0,2.0,2024-25
Mikey Anderson,D,77.0,4125000.0,8.0,2023-24
Brandon Carlo,D,83.0,4100000.0,6.0,2021-22
Nick Jensen,D,71.0,4050000.0,3.0,2023-24
Marcus Pettersson,D,78.0,4025175.0,5.0,2020-21
Patrick Kane,R,72.0,4000000.0,1.0,2024-25
David Perron,L,43.0,4000000.0,2.0,2024-25
Alec Martinez,D,44.0,4000000.0,1.0,2024-25
Nick Leddy,D,31.0,4000000.0,4.0,2022-23
Marcus Foligno,L,77.0,4000000.0,4.0,2024-25
Erik Gudbranson,D,16.0,4000000.0,4.0,2022-23
Nino Niederreiter,R,82.0,4000000.0,3.0,2024-25
Radko Gudas,D,81.0,4000000.0,3.0,2023-24
Brenden Dillon,D,82.0,4000000.0,3.0,2024-25
Adam Larsson,D,82.0,4000000.0,4.0,2021-22
Jake McCabe,D,66.0,4000000.0,4.0,2021-22
Ryan Hartman,R,69.0,4000000.0,3.0,2024-25
Robby Fabbri,C,44.0,4000000.0,3.0,2022-23
Viktor Arvidsson,L,67.0,4000000.0,2.0,2024-25
Ross Colton,C,61.0,4000000.0,4.0,2023-24
Alex Iafallo,L,82.0,4000000.0,4.0,2021-22
Noah Dobson,D,71.0,4000000.0,3.0,2022-23
Thomas Harley,D,78.0,4000000.0,2.0,2024-25
Dawson Mercer,C,82.0,4000000.0,3.0,2024-25
Evan Bouchard,D,82.0,3900000.0,2.0,2023-24
K'Andre Miller,D,74.0,3872000.0,2.0,2023-24
Kirill Marchenko,R,79.0,3850000.0,3.0,2024-25
Bowen Byram,D,82.0,3850000.0,2.0,2023-24
Joel Edmundson,D,73.0,3850000.0,4.0,2024-25
Boone Jenner,C,26.0,3750000.0,4.0,2022-23
Matt Dumba,D,63.0,3750000.0,2.0,2024-25
Max Domi,C,74.0,3750000.0,4.0,2024-25
Alexandre Carrier,D,79.0,3750000.0,3.0,2024-25
