Name,Pos,GP,Cap Hit,Length,Start Year
Nicklaus Perbix,D,74.0,1125000.0,2.0,2023-24
Conor Timmins,D,68.0,1100000.0,2.0,2023-24
Mathieu Olivier,R,82.0,1100000.0,2.0,2023-24
Nils Hoglander,L,72.0,1100000.0,2.0,2023-24
Justin Danforth,R,61.0,1100000.0,1.0,2024-25
Travis Hamonic,D,59.0,1100000.0,2.0,2023-24
Ross Johnston,L,43.0,1100000.0,4.0,2022-23
Kyle Burroughs,D,33.0,1100000.0,3.0,2023-24
Urho Vaakanainen,D,51.0,1100000.0,1.0,2024-25
Victor Olofsson,L,56.0,1075000.0,1.0,2024-25
Oliver Kylington,D,19.0,1050000.0,1.0,2024-25
Kevin Bahl,D,73.0,1050000.0,2.0,2023-24
Logan O'Connor,R,80.0,1050000.0,3.0,2022-23
Brett Leason,R,62.0,1050000.0,1.0,2024-25
Rasmus Kupari,C,59.0,1000000.0,2.0,2023-24
Martin Pospisil,C,81.0,1000000.0,2.0,2024-25
Declan Chisholm,D,66.0,1000000.0,1.0,2024-25
Vasily Podkolzin,R,82.0,1000000.0,2.0,2024-25
Henry Thrun,D,60.0,1000000.0,2.0,2024-25
Cole Smith,L,71.0,1000000.0,2.0,2024-25
Erik Johnson,D,36.0,1000000.0,1.0,2024-25
Craig Smith,C,59.0,1000000.0,1.0,2024-25
Sam Carrick,C,80.0,1000000.0,3.0,2024-25
Brendan Smith,D,32.0,1000000.0,1.0,2024-25
Connor Brown,R,82.0,1000000.0,1.0,2024-25
Liam O'Brien,L,28.0,1000000.0,3.0,2024-25
Curtis Lazar,C,48.0,1000000.0,3.0,2022-23
Kasperi Kapanen,R,67.0,1000000.0,1.0,2024-25
Andreas Englund,D,35.0,1000000.0,2.0,2023-24
Taylor Raddysh,R,80.0,1000000.0,1.0,2024-25
Ben Hutton,D,11.0,975000.0,2.0,2024-25
Darren Raddysh,D,73.0,975000.0,2.0,2024-25
Daniel Sprong,R,30.0,975000.0,1.0,2024-25
Macklin Celebrini,C,70.0,975000.0,3.0,2024-25
Artyom Levshunov,D,18.0,975000.0,3.0,2024-25
Zeev Buium,D,0.0,966500.0,3.0,2024-25
Pierre-Olivier Joseph,D,47.0,950000.0,1.0,2024-25
Ty Emberson,D,76.0,950000.0,1.0,2024-25
Juraj Slafkovsk,R,79.0,950000.0,3.0,2022-23
Logan Cooley,C,75.0,950000.0,3.0,2023-24
Cutter Gauthier,L,82.0,950000.0,3.0,2023-24
Frank Nazar,C,53.0,950000.0,3.0,2023-24
Jimmy Snuggerud,R,7.0,950000.0,3.0,2024-25
Seamus Casey,D,14.0,950000.0,3.0,2024-25
Lane Hutson,D,82.0,950000.0,3.0,2023-24
Zach Benson,L,75.0,950000.0,3.0,2023-24
Connor Bedard,C,82.0,950000.0,3.0,2023-24
Leo Carlsson,C,76.0,950000.0,3.0,2023-24
Adam Fantilli,C,82.0,950000.0,3.0,2023-24
Will Smith,C,74.0,950000.0,3.0,2024-25
Matvei Michkov,R,80.0,950000.0,3.0,2024-25
Ryan Leonard,C,9.0,950000.0,3.0,2024-25
Matthew Wood,L,6.0,950000.0,3.0,2024-25
Maxim Tsyplakov,R,77.0,950000.0,1.0,2024-25
Eric Robinson,L,82.0,950000.0,1.0,2024-25
Sam Rinzel,D,9.0,941667.0,3.0,2024-25
Collin Graf,R,33.0,941667.0,3.0,2023-24
Ivan Demidov,R,2.0,940833.0,3.0,2024-25
John Beecher,C,78.0,925000.0,3.0,2022-23
Jackson LaCombe,D,75.0,925000.0,2.0,2024-25
Drew Helleson,D,56.0,925000.0,3.0,2022-23
Dmitri Voronkov,C,73.0,925000.0,2.0,2023-24
Drew O'Connor,L,84.0,925000.0,2.0,2023-24
Sam Colangelo,R,32.0,925000.0,2.0,2023-24
Marat Khusnutdinov,C,75.0,925000.0,2.0,2023-24
Brock Faber,D,78.0,925000.0,3.0,2022-23
Mason Lohrei,D,77.0,925000.0,2.0,2023-24
Alexander Nikishin,D,0.0,925000.0,2.0,2024-25
Luke Hughes,D,71.0,925000.0,3.0,2022-23
Matt Coronato,R,77.0,925000.0,3.0,2022-23
Fyodor Svechkov,C,52.0,925000.0,3.0,2023-24
Mackie Samoskevich,R,72.0,925000.0,3.0,2022-23
Josh Doan,R,51.0,925000.0,3.0,2023-24
Matthew Knies,L,78.0,925000.0,3.0,2022-23
Oliver Kapanen,C,18.0,925000.0,3.0,2024-25
Pavel Mintyukov,D,68.0,918333.0,3.0,2023-24
Kevin Korchinski,D,16.0,918333.0,3.0,2023-24
Simon Nemec,D,27.0,918333.0,3.0,2023-24
David Jiricek,D,12.0,918333.0,3.0,2023-24
Lian Bichsel,D,38.0,918333.0,3.0,2024-25
Tyler Kleven,D,79.0,916667.0,3.0,2022-23
Wyatt Kaiser,D,57.0,916667.0,3.0,2022-23
Scott Morrow,D,14.0,916667.0,3.0,2023-24
Carter Mazur,L,1.0,905833.0,3.0,2023-24
Jackson Blake,R,80.0,905833.0,3.0,2023-24
Jacob Bryson,D,48.0,900000.0,1.0,2024-25
James van Riemsdyk,L,71.0,900000.0,1.0,2024-25
Cam Atkinson,R,39.0,900000.0,1.0,2024-25
Matt Nieto,L,32.0,900000.0,2.0,2023-24
Michael McCarron,R,74.0,900000.0,2.0,2024-25
Emil Heineman,L,62.0,897500.0,3.0,2022-23
Mikael Pyyhtia,L,47.0,897500.0,3.0,2022-23
Ryker Evans,D,73.0,897500.0,3.0,2022-23
Nikolai Kovalenko,R,57.0,896250.0,2.0,2023-24
Alexander Holtz,R,53.0,894167.0,3.0,2022-23
Shakir Mukhamadullin,D,30.0,894167.0,3.0,2022-23
Mavrik Bourque,C,73.0,894167.0,3.0,2022-23
Mason McTavish,C,76.0,894167.0,3.0,2022-23
Dylan Guenther,R,70.0,894176.0,3.0,2022-23
Wyatt Johnston,C,82.0,894167.0,3.0,2022-23
Simon Edvinsson,D,78.0,894167.0,3.0,2023-24
Jani Nyman,R,12.0,891666.0,3.0,2024-25
Conor Geekie,R,52.0,886666.0,3.0,2024-25
Matthew Savoie,C,4.0,886666.0,3.0,2024-25
Denton Mateychuk,D,44.0,886666.0,3.0,2024-25
Shane Wright,C,79.0,886666.0,3.0,2024-25
Marco Kasper,C,77.0,886666.0,3.0,2024-25
Liam hgren,L,24.0,886666.0,3.0,2024-25
Jiri Kulich,C,62.0,886666.0,3.0,2024-25
Elmer Soderblom,L,26.0,878333.0,3.0,2022-23
Nicholas Robertson,L,69.0,875000.0,1.0,2024-25
Alex Laferriere,R,77.0,875000.0,3.0,2022-23
Logan Mailloux,D,7.0,875000.0,3.0,2023-24
Thomas Bordeleau,C,1.0,874125.0,1.0,2024-25
Max Pacioretty,L,37.0,873770.0,1.0,2024-25
Emil Lilleberg,D,76.0,870000.0,2.0,2023-24
Matthew Poitras,C,33.0,870000.0,3.0,2023-24
Jayden Struble,D,56.0,867500.0,2.0,2023-24
Tristan Luneau,D,6.0,865000.0,3.0,2024-25
Jack Quinn,R,74.0,863334.0,3.0,2022-23
Marco Rossi,C,82.0,863334.0,3.0,2022-23
Kaiden Guhle,D,55.0,863334.0,3.0,2022-23
Hendrix Lapierre,C,27.0,863334.0,3.0,2022-23
Tyson Foerster,R,81.0,863334.0,3.0,2022-23
Connor Zary,C,54.0,863334.0,3.0,2022-23
Ridly Greig,C,78.0,863334.0,3.0,2022-23
Brandt Clarke,D,78.0,863334.0,3.0,2023-24
Zachary L'Heureux,L,62.0,863334.0,3.0,2023-24
Zack Bolduc,C,72.0,863334.0,3.0,2023-24
William Eklund,L,77.0,863333.0,3.0,2023-24
Tye Kartye,C,63.0,859167.0,3.0,2022-23
John-Jason Peterka,C,77.0,855834.0,3.0,2022-23
Simon Holmstrom,R,75.0,850000.0,1.0,2024-25
Sam Malinski,D,76.0,850000.0,2.0,2023-24
Uvis Balinskis,D,76.0,850000.0,2.0,2024-25
Zemgus Girgensons,C,82.0,850000.0,3.0,2024-25
A.J. Greer,L,81.0,850000.0,2.0,2024-25
Noah Gregor,L,52.0,850000.0,1.0,2024-25
Justin Sourdif,R,1.0,847500.0,3.0,2022-23
Adam Edstrom,C,51.0,846667.0,3.0,2022-23
Antonio Stranges,L,0.0,846667.0,3.0,2022-23
Ivan Ivan,C,40.0,845000.0,2.0,2024-25
Olen Zellweger,D,62.0,844167.0,3.0,2023-24
Elias Pettersson,D,28.0,838333.0,3.0,2024-25
Aatu Rty,C,33.0,836667.0,3.0,2022-23
Jake Neighbours,L,82.0,835834.0,3.0,2022-23
Ozzy Wiesblatt,C,5.0,835833.0,3.0,2022-23
David Gustafsson,C,36.0,835000.0,2.0,2024-25
Mark Kastelic,C,61.0,835000.0,2.0,2023-24
Danil Gushchin,L,12.0,828334.0,3.0,2022-23
Will Cuylle,L,82.0,828333.0,3.0,2022-23
Donovan Sebrango,D,2.0,828333.0,3.0,2022-23
Jack Thompson,D,31.0,828333.0,3.0,2022-23
Alexander Alexeyev,D,8.0,825000.0,2.0,2023-24
Jonatan Berggren,R,75.0,825000.0,1.0,2024-25
Parker Kelly,L,80.0,825000.0,2.0,2024-25
Philip Tomasino,C,61.0,825000.0,1.0,2024-25
Arthur Kaliyev,R,14.0,825000.0,1.0,2024-25
Kaedan Korczak,D,40.0,825000.0,2.0,2024-25
Nils Aman,C,19.0,825000.0,2.0,2024-25
Nolan Allan,D,43.0,825000.0,3.0,2023-24
Dennis Gilbert,D,29.0,825000.0,1.0,2024-25
Matt Rempe,R,42.0,820000.0,3.0,2022-23
Fraser Minten,C,21.0,816666.0,3.0,2024-25
Logan Stankoven,C,78.0,814167.0,3.0,2023-24
Zachary Jones,D,46.0,812500.0,2.0,2023-24
Nikita Prishchepov,C,10.0,806667.0,3.0,2024-25
Samuel Helenius,C,50.0,805833.0,3.0,2023-24
Jacob Bernard-Docker,D,40.0,805000.0,2.0,2023-24
Pontus Holmberg,C,68.0,800000.0,2.0,2023-24
Tyler Tucker,D,38.0,800000.0,2.0,2023-24
Jakob Pelletier,L,48.0,800000.0,1.0,2024-25
Cole Schwindt,R,42.0,800000.0,1.0,2024-25
Mitchell Chaffee,R,66.0,800000.0,2.0,2024-25
Matthew Kessel,D,29.0,800000.0,2.0,2024-25
Trevor Lewis,C,60.0,800000.0,1.0,2024-25
Calvin de Haan,D,47.0,800000.0,1.0,2024-25
Nick Cousins,C,50.0,800000.0,1.0,2024-25
Mark Jankowski,C,60.0,800000.0,2.0,2024-25
Jimmy Vesey,L,43.0,800000.0,2.0,2023-24
Nate Schmidt,D,80.0,800000.0,1.0,2024-25
Tyler Motte,C,55.0,800000.0,1.0,2024-25
Luke Glendening,C,77.0,800000.0,2.0,2023-24
Parker Wotherspoon,D,55.0,800000.0,1.0,2024-25
Michael Eyssimont,C,77.0,800000.0,2.0,2023-24
Luke Evangelista,R,68.0,797500.0,3.0,2022-23
Jakub Lauko,C,56.0,787500.0,2.0,2023-24
Jonny Brodzinski,C,51.0,787500.0,2.0,2024-25
Jansen Harkins,C,62.0,787500.0,2.0,2024-25
Joel Hanley,D,53.0,787500.0,2.0,2023-24
Troy Stecher,D,66.0,787500.0,2.0,2024-25
Ryan Suter,D,82.0,775000.0,1.0,2024-25
Jack Johnson,D,41.0,775000.0,1.0,2024-25
Robert Bortuzzo,D,17.0,775000.0,1.0,2024-25
Matt Martin,L,32.0,775000.0,1.0,2024-25
Dylan McIlrath,D,17.0,775000.0,2.0,2023-24
Austin Watson,R,13.0,775000.0,1.0,2024-25
Alexander Petrovic,D,5.0,775000.0,2.0,2024-25
Justin Dowling,C,52.0,775000.0,2.0,2023-24
Tanner Pearson,L,78.0,775000.0,1.0,2024-25
Dominic Toninato,C,5.0,775000.0,2.0,2023-24
John Hayden,R,20.0,775000.0,1.0,2024-25
Hudson Fasching,R,40.0,775000.0,2.0,2023-24
Nathan Walker,L,73.0,775000.0,2.0,2024-25
Jordan Oesterle,D,37.0,775000.0,2.0,2024-25
Tomas Nosek,L,59.0,775000.0,1.0,2024-25
Haydn Fleury,D,39.0,775000.0,1.0,2024-25
Jakub Vrana,L,39.0,775000.0,1.0,2024-25
Tony DeAngelo,D,35.0,775000.0,1.0,2024-25
Justin Kirkland,C,21.0,775000.0,1.0,2024-25
Noah Juulsen,D,35.0,775000.0,2.0,2023-24
Mitchell Stephens,C,28.0,775000.0,2.0,2024-25
Ryan Shea,D,39.0,775000.0,1.0,2024-25
Adam Gaudette,C,81.0,775000.0,1.0,2024-25
Steven Lorentz,C,80.0,775000.0,1.0,2024-25
Dryden Hunt,L,5.0,775000.0,2.0,2023-24
Kevin Labanc,R,34.0,775000.0,1.0,2024-25
Tyson Jost,C,39.0,775000.0,1.0,2024-25
Josh Mahura,D,64.0,775000.0,1.0,2024-25
Keaton Middleton,D,41.0,775000.0,2.0,2023-24
Jacob Moverare,D,49.0,775000.0,2.0,2024-25
Rodrigo Abols,C,22.0,775000.0,1.0,2024-25
Michael Carcone,C,53.0,775000.0,2.0,2023-24
Zach Aston-Reese,C,79.0,775000.0,1.0,2024-25
Jesper Boqvist,C,78.0,775000.0,1.0,2024-25
Jonah Gadjovich,L,42.0,775000.0,2.0,2024-25
Adam Boqvist,D,35.0,775000.0,1.0,2024-25
Oskar Back,C,73.0,775000.0,1.0,2024-25
Linus Karlsson,R,23.0,775000.0,1.0,2024-25
Paul Cotter,C,79.0,775000.0,3.0,2023-24
Cole Koepke,L,73.0,775000.0,1.0,2024-25
Colin Blackwell,C,63.0,775000.0,1.0,2024-25
Jake Christiansen,D,68.0,775000.0,1.0,2024-25
Brayden Pachal,D,76.0,775000.0,2.0,2023-24
Kyle MacLean,C,81.0,775000.0,3.0,2024-25
Justin Brazeau,R,76.0,775000.0,2.0,2023-24
Tye Felhaber,L,5.0,775000.0,2.0,2024-25
Joel Kiviranta,L,79.0,775000.0,1.0,2024-25
Alex Turcotte,C,68.0,775000.0,3.0,2024-25
Matthew Robertson,D,2.0,775000.0,1.0,2024-25
Albert Johansson,D,61.0,775000.0,1.0,2024-25
Juuso Parssinen,C,48.0,775000.0,1.0,2024-25
Gage Goncalves,C,60.0,775000.0,1.0,2024-25
Louis Crevier,D,32.0,775000.0,1.0,2024-25
Matt Kiersted,D,2.0,775000.0,1.0,2024-25
Nick Blankenburg,D,60.0,775000.0,2.0,2024-25
Adam Klapka,R,28.0,775000.0,1.0,2024-25
Nikolas Matinpalo,D,41.0,775000.0,1.0,2024-25
Marc Gatcomb,C,39.0,775000.0,1.0,2024-25
Johnathan Kovacevic,D,81.0,766667.0,3.0,2022-23
